Scenario,Cardinality,Best_regret,Best_method_regret,entropy
ASP-POTASSCO,3,20069566.34310602,SF,0.8842264151244678
BNSL-2016,2,42462520523561.14,SB,0.784281310509623
CPMP-2015,1,29115036514.484467,MIP,NA
CSP-2010,1,391990811.2814542,MIP,NA
CSP-Minizinc-Obj-2016,6,811.1533071598592,SB,0.5652428972327441
CSP-Minizinc-Time-2016,5,187798195.08206984,SB,0.31674851002548127
CSP-MZN-2013,3,3636564357.2649264,SF,0.9200593800937967
GLUHACK-18,2,2043796.4155056742,MIP,1.0071261780857719
GRAPHS-2015,2,153379735880732320,SF,1.0441517237308235
MAXSAT-PMS-2016,5,959743.9520149281,MIP,0.49335969743884805
MAXSAT-WPMS-2016,5,4503607283755.015,MIP,0.7203394334649196
MAXSAT12-PMS,2,76561388528651.83,MIP,1.006734217387976
MAXSAT15-PMS-INDU,8,540337.1063103972,MIP,0.6045982327366938
MAXSAT19-UCMS,2,22695376.162316885,MIP,0.8228791022627961
MIP-2016,2,65680.77657949252,TOPK,0.6661523455768009
OPENML-WEKA-2017,8,1.332510769900565,TOPK,0.7943866370044164
PROTEUS-2014,6,6014073860.529198,MIP,0.8045680306337691
QBF-2011,2,234187322295319.22,SF,1.0147602852985806
QBF-2014,4,12867427559821064e7,SF,0.8824572698227794
QBF-2016,6,13510927681217.693,MIP,0.6981052298681644
SAT03-16_INDU,3,43882188.66051058,MIP,0.8345139502200623
SAT11-HAND,4,596138.7528830939,MIP,0.5418411172225703
SAT11-INDU,5,189226.02275711697,MIP,0.8313939484581232
SAT11-RAND,3,3168458.407984191,TOPK,0.8387417087769202
SAT12-ALL,8,555229497484729.25,SF,0.8526354984253269
SAT12-HAND,8,18014421788229.727,MIP,0.6477922502077577
SAT12-INDU,8,6389147.9236245435,MIP,1.0180459673746824
SAT12-RAND,8,1016763.722106624,SF,0.992579777322321
SAT15-INDU,7,287901.93112017616,MIP,0.7088166279180301
SAT18-EXP,10,723967.1935749359,SF,0.905004024803766
SAT20-MAIN,17,436481.87552161625,MIP,1.0737011850022788
TSP-LION2015,1,111019000.9700239,TOPK,NA
TTP-2016,6,3099481271937969.5,TOPK,0.0511084140399945
