Scenario,Cardinality,Best_regret,Best_method_regret,entropy
ASP-POTASSCO,8,766513.6698475997,MIP,1.0821285846853388
BNSL-2016,6,9007199254752.006,MIP,0.9269724206310928
CPMP-2015,3,10198908.557658799,MIP,0.8713719873641959
CSP-2010,1,391990811.2814542,MIP,NA
CSP-Minizinc-Obj-2016,16,1.0031230863441518,SF,1.2142885368837673
CSP-Minizinc-Time-2016,15,1,MIP,0.5941367923788905
CSP-MZN-2013,8,582231760.6500151,MIP,0.8105725105662749
GLUHACK-18,6,525271.4113221476,TOPK,0.9249402136866208
GRAPHS-2015,5,1446.359034143558,TOPK,1.0506231450351917
MAXSAT-PMS-2016,14,1.0977235772357723,TOPK,1.0277297126475144
MAXSAT-WPMS-2016,13,1,MIP,0.8563308209107735
MAXSAT12-PMS,4,15.38452740223276,TOPK,0.8146393584175385
MAXSAT15-PMS-INDU,21,1.0132462544680203,SF,1.1563166870932315
MAXSAT19-UCMS,5,43855.621646643645,MIP,0.9065200402847658
MIP-2016,3,1.1905153428277786,MIP,0.7188760984397727
OPENML-WEKA-2017,22,1,SF,1.4596683154664447
PROTEUS-2014,16,54350.19719831068,MIP,1.2298124071405372
QBF-2011,3,2312075106.69243,MIP,0.7884200243448625
QBF-2014,10,22698844.338845674,MIP,0.9515826120483515
QBF-2016,18,1.0356980327720813,MIP,1.2867491035219822
SAT03-16_INDU,7,4271587.626752525,SF,1.1221019421014555
SAT11-HAND,11,44769.86345668578,SF,0.9883811772527217
SAT11-INDU,13,3.2094496472010534,TOPK,1.2638617533766738
SAT11-RAND,6,3.2986731071913917,MIP,0.8061065415742684
SAT12-ALL,23,326620.07750826643,MIP,1.3678485763657473
SAT12-HAND,23,564040.2345445494,SF,1.4494664611905121
SAT12-INDU,23,2081166.6450141112,SF,1.5049093310722623
SAT12-RAND,23,1.3366412213740457,MIP,0.5644509983299151
SAT15-INDU,21,1.5438647914210168,SF,1.4954783526641449
SAT18-EXP,27,40001.54082725321,MIP,1.212655348148472
SAT20-MAIN,50,43491.71946025248,SF,2.1279477731627408
TSP-LION2015,3,335381.36987645255,MIP,0.8268232735187488
TTP-2016,15,109325344825180.4,MIP,0.14785955923299798
