Scenario,Cardinality,Best_regret,Best_method_regret,entropy
ASP-POTASSCO,9,6.515143114242903,MIP,1.1424342840962871
BNSL-2016,7,9007199254742.19,TOPK,1.028456613078513
CPMP-2015,3,10198908.557658799,MIP,0.8713719873641959
CSP-2010,1,391990811.2814542,MIP,NA
CSP-Minizinc-Obj-2016,19,1,MIP,1.2770490748039736
CSP-Minizinc-Time-2016,18,1,MIP,0.7517210006364041
CSP-MZN-2013,9,557429768.2103575,MIP,0.9237771575765725
GLUHACK-18,7,53402.06479524197,TOPK,1.0120284420254988
GRAPHS-2015,6,1.107477564102564,MIP,1.0233040078581859
MAXSAT-PMS-2016,17,1,SF,1.1108258369141335
MAXSAT-WPMS-2016,16,1,MIP,0.8779328948729943
MAXSAT12-PMS,5,1.052910488101035,MIP,0.9199759995705313
MAXSAT15-PMS-INDU,26,1.000925925925926,MIP,1.0318820956796304
MAXSAT19-UCMS,6,1.2515013054010573,MIP,0.9816189027318293
MIP-2016,4,1.0550000000000002,MIP,0.596097965490556
OPENML-WEKA-2017,27,1,SF,1.663808572840646
PROTEUS-2014,19,54345.371676979565,MIP,1.3657479185349486
QBF-2011,4,1371151368.7762105,MIP,0.8873743515868014
QBF-2014,12,774177.4213657624,TOPK,1.0838978772309975
QBF-2016,21,1,TOPK,1.3915761722213493
SAT03-16_INDU,9,939887.1573636933,SF,1.2281144603877465
SAT11-HAND,13,1.0274125164601102,TOPK,0.8536463133524476
SAT11-INDU,16,1.5340452649890666,TOPK,1.4083619606462427
SAT11-RAND,8,1.032239993830755,MIP,0.9947747505873277
SAT12-ALL,27,2.059061079870701,MIP,1.5063090135977553
SAT12-HAND,27,1.5214188208710673,TOPK,1.4715340720419674
SAT12-INDU,27,2081166.352653486,MIP,1.3581344196395517
SAT12-RAND,27,1.0366412213740457,MIP,0.657884340742556
SAT15-INDU,25,1.0061213137429212,SF,1.591843349578523
SAT18-EXP,33,40001.15019759098,MIP,1.36747838681477
SAT20-MAIN,60,1.6630004344249876,SF,2.2979929688976384
TSP-LION2015,3,335381.36987645255,MIP,0.8268232735187488
TTP-2016,18,398249712168.671,MIP,0.1526440242183387
