scenario,MIP,TOPK,BP,RND,SB,SF,ICARUS
ASP-POTASSCO,0.1323476740286848,0.08452509150923412,NA,1.5776888212070883,1.1100853661071017,0.08789087950757758,NA
BNSL-2016,2.938745723630117e-9,6.7027809203161516e-9,NA,1.1960703202689464,0.7176422916967232,4.795902286340933e-9,NA
CPMP-2015,1.3756130687166819e-14,0.36126334273155963,NA,1.488060833449863,0.4902859617730365,0.20643619584661396,NA
CSP-2010,0.03678604771452986,1.108026179897308,NA,1.3390583239365503,0.03678604771452986,1.108026179897308,NA
CSP-Minizinc-Obj-2016,6.376256401101787e-5,0.24164842377781137,NA,1.8188425083016337,0.2843951553384772,0.20724549677145465,NA
CSP-Minizinc-Time-2016,0.41967394101787103,0.3480878508887363,NA,2.514896267623503,0.143805710400005,0.3610394019334344,NA
CSP-MZN-2013,0.22536857008358335,0.4449907899707426,NA,2.5141266394505193,1.5298642626974965,0.4264403499607742,NA
GLUHACK-18-ALGO,0.08371470233173164,0.888798594872463,NA,2.7067207288690858,0.68866201112018,0.8833932939615856,NA
GLUHACK-18,0.08401954262818412,0.8920350828441197,NA,2.657697142469993,0.6911697179599361,0.8866100989685277,NA
GRAPHS-2015-ALGO,3.680713180678689e-5,1.3241415716052127e-5,NA,1.580317332654823,1.329714324160003e-5,9.570099405522611e-6,NA
GRAPHS-2015,3.4410356162358846e-5,1.2379172418949352e-5,NA,1.6302296751191743,1.2431271126673074e-5,8.946921775428587e-6,NA
MAXSAT-PMS-2016,1.360054637195415e-15,3.139245162866823e-11,NA,2.648947615815243,0.08150609980351617,6.317625325974794e-11,NA
MAXSAT-WPMS-2016,1.1763838253125848e-10,1.0952530595235856e-10,NA,2.4725248423188777,3.6276645805587816e-10,1.0141232724094098e-10,NA
MAXSAT12-PMS,0.03651125330090049,1.1222917678809021,NA,1.2291409970417513,0.18262684125617645,0.4912038802719719,NA
MAXSAT15-PMS-INDU,3.668399047973202e-11,4.924256438455206e-12,NA,1.7173976496974384,0.08732526927354979,5.8700486109824984e-12,NA
MAXSAT19-UCMS-ALGO,0.014245787868887565,0.19495495856345513,NA,1.8929926647503525,0.2575128147793122,0.169008897595896,NA
MAXSAT19-UCMS,0.012618378099154863,0.1726837014631782,NA,1.9650316351583772,0.2280950756931871,0.14970166561611828,NA
MIP-2016,0.005800662575082441,0.3665757282173326,NA,2.906855157524532,0.32533810719525835,0.005592966348719494,NA
OPENML-WEKA-2017-ALGO,0.2414802451263809,0.25937741474197096,NA,2.9879348111700086,1.997144226119552,0.23875874266845076,NA
OPENML-WEKA-2017,0.24226156204960603,0.26021663852002463,NA,2.9755206670522423,2.003606049036673,0.23953125408493237,NA
PROTEUS-2014,0.3354967931858325,0.6373140631746941,NA,3.5391713230026216,0.5195213528075764,0.531630651023782,NA
QBF-2011,4.2296315006518783e-7,3.929246875302353e-10,NA,2.3795117806151214,0.9965474163837691,3.929246841245969e-10,NA
QBF-2014,0.2075761727051723,0.355844868212691,NA,2.102591299572433,0.45327858097955886,0.24993865740138854,NA
QBF-2016,1.2409749802167602e-9,5.220277813934601e-10,NA,1.1461534168118268,0.9377618827754497,5.166651729256698e-10,NA
SAT03-16_INDU-ALGO,0.001536285630654916,1.7961634348267215,NA,0.7792163227268634,0.006540263585058163,0.9319383963137575,NA
SAT03-16_INDU,0.00158548432091185,1.8536845667813295,NA,0.7285735713259291,0.006749711877679901,0.961783203544844,NA
SAT11-HAND-ALGO,0.08746405500777181,0.38423174473070065,NA,2.6174639883630046,0.32395661363726336,0.41863480602262315,NA
SAT11-HAND,0.08726285299097311,0.3833478593225632,NA,2.6111018439500997,0.32321138493716134,0.4176717799284591,NA
SAT11-INDU-ALGO,0.2713447902149111,0.2532505931635933,NA,1.0284685605575756,0.028183934225361265,0.06289595575034496,NA
SAT11-INDU,0.2765329523596874,0.2580927909428573,NA,0.9570820262264699,0.028722816215773078,0.06409853795737766,NA
SAT11-RAND-ALGO,0.18883290089570023,0.41321796023775037,NA,1.942059166714182,0.4102531782155412,0.21432613352024416,NA
SAT11-RAND,0.1871754276316957,0.40959095605547147,NA,2.00346128972645,0.4066521972893374,0.21244489442259618,NA
SAT12-ALL,2.0676645341400044,0.1976443910437534,NA,1.8403371877905945,1.8982552098158436,0.2801772134950612,NA
SAT12-HAND,0.9007068206562592,0.20015708820242842,NA,1.7346942157421887,1.7990306993396699,0.443204964841561,NA
SAT12-INDU,7.609862346917153e-10,8.167880903134638e-9,NA,1.9568100835521691,1.3452006181783675e-8,7.083661683966464e-9,NA
SAT12-RAND,1.772691998825083,0.06818046154365606,NA,1.199110406207374,4.029140607532641,7.834259840910316e-11,NA
SAT15-INDU,0.1113985633192005,0.042311241558088034,NA,4.224879028207571,0.5737845136825697,0.08778836488029872,NA
SAT18-EXP-ALGO,0.048356894220177166,0.07430201415176693,NA,3.587983646131832,0.8136783918605595,0.0954333777328124,NA
SAT18-EXP,0.048356894220177166,0.07430201415176693,NA,3.587983646131832,0.8136783918605595,0.0954333777328124,NA
SAT20-MAIN,0.06719616859037514,0.10200275630598271,NA,2.804553695031723,0.9893404977788878,0.07580204611624164,NA
TSP-LION2015-ALGO,0.3271778134914671,0.10692705478512843,NA,1.0343980225893525,NA,NA,NA
TSP-LION2015,0.3271778134914671,0.10692705478512843,NA,1.0343980225893525,NA,NA,NA
TTP-2016,1.622122672218949,1.3676152705974953,NA,NA,NA,NA,NA
