Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.8176409283017506,0.8176409283017506,0.8176409283017506,0.8176409283017506,NA,NA,0.7876049091050397,0.1304666593839987,0.7445959655462148,0.10069824683660429,0.9901539410088125,0.04267689753792774,NA,NA
3,0.8387417087769202,0.8387417087769202,0.8387417087769202,0.8387417087769202,NA,NA,0.741015411458718,0.1057988941750523,0.7607353746500921,0.08006706434073693,0.9317410809044423,0.031712900008502555,NA,NA
4,0.8045747352731177,0.8045747352731177,0.8045747352731177,0.8045747352731177,NA,NA,0.7704254201558326,0.08844388227334794,0.7666215370370087,0.06574702490402422,0.9405512404782329,0.02609879489762445,NA,NA
5,0.8186656327144514,0.8186656327144514,0.8186656327144514,0.8186656327144514,NA,NA,0.8323367354271787,0.07603507791529808,0.7622886008290904,0.07301890045957506,0.9547953347599445,0.033132233022413055,NA,NA
6,0.8061065415742684,0.8061065415742684,0.8061065415742684,0.8061065415742684,NA,NA,0.8993769092983457,0.06216420384873937,0.8023487564488926,0.07118262976017498,0.9680480160673625,0.04700319773949731,NA,NA
7,0.9147133585647514,0.9147133585647514,0.9147133585647514,0.9147133585647514,NA,NA,0.963866435610801,0.05212822700253636,0.8623449943580835,0.06412482596116857,0.9958703291845753,0.05280891188515666,NA,NA
8,0.9947747505873277,0.9947747505873277,0.9947747505873277,0.9947747505873277,NA,NA,1.0331059471693282,0.03278291782061865,0.9597477952286011,0.05990100757434532,0.997578711280442,0.05235374199496655,1.0933793000976242,0.06035234232302786
9,1.0696175648278183,1.0696175648278183,1.0696175648278183,1.0696175648278183,1.0697340195882756,0.052229466528536654,1.1004037886150255,4.516810283266961e-16,1.0697340195882756,0.052229466528536654,1.0697340195882756,0.052229466528536654,1.0595859897958375,0.0637336081083285
