Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6661523455768009,0.6661523455768009,0.6661523455768009,0.6661523455768009,NA,NA,0.6686033740346646,0.2067400589303685,0.6909575426803692,0.11267040254601791,0.8672415306095028,0.07403881091835496,NA,NA
3,0.7188760984397727,0.7188760984397727,0.7188760984397727,0.7188760984397727,NA,NA,0.6382006808263081,0.12850317982776455,0.46926145863469954,0.08151381223253847,0.8457492483983405,0.05969760491598943,0.5703625481537575,0.08430016737915763
4,0.596097965490556,0.596097965490556,0.596097965490556,0.596097965490556,NA,NA,0.6827487088145986,0.08518450358640568,0.596097965490556,0.06488457874384126,0.779099536644936,0.06209246741823996,0.7166693703638238,0.07530607118652857
5,0.6937575752110343,0.6937575752110343,0.6748349332995784,0.6748349332995784,0.6944425937066878,0.06466110401550704,0.7266057800698508,1.4518318767643803e-16,0.6938213759187768,0.06118199917806007,0.6938213759187768,0.06118199917806007,0.6940517913683162,0.07146989594630734
