Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.9021065733695497,0.9021065733695497,0.9021065733695497,0.9021065733695497,NA,NA,0.9586642735570742,0.043341652885181346,0.8896105490810552,0.0896155883272896,0.9732043488053207,0.06218618541508672,NA,NA
3,0.8713719873641959,0.8713719873641959,0.8713719873641959,0.8713719873641959,NA,NA,0.9037022083588412,0.02321594686376085,0.8810060806158616,0.06307376246787973,0.8900724564389694,0.06945283090276648,NA,NA
4,0.9341417446540078,0.9341417446540078,0.9341417446540078,0.9341417446540078,0.9341417446540078,0.06531101525997866,0.9572486222008796,6.129956813005162e-16,0.9341417446540078,0.06531101525997866,0.9341417446540078,0.06531101525997866,0.9341417446540078,0.06531101525997866
