Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.9059505662669745,0.9059505662669745,0.9059505662669745,0.9059505662669745,NA,NA,0.8525514009549598,0.07098500746358984,0.8806369386662866,0.03124389826226504,0.9396637323439173,0.026948172395664712,NA,NA
3,0.8345139502200623,0.8345139502200623,0.8345139502200623,0.8345139502200623,NA,NA,0.8048392660590118,0.05440205860637136,0.8260338006725603,0.030347287009383016,0.8815032621360205,0.02541815601288453,NA,NA
4,0.8917821048281097,0.8917821048281097,0.8917821048281097,0.8917821048281097,NA,NA,0.8633963057931979,0.04470393640527298,0.8795900918452086,0.028357781262055196,0.9258475738476163,0.02192250109305558,NA,NA
5,0.9293316908051055,0.9293316908051055,0.9293316908051055,0.9293316908051055,NA,NA,0.9247662398304091,0.03782176684483888,0.945289530475056,0.02910894376450114,0.9837845120215905,0.0251731759436398,NA,NA
6,0.9594700227327061,0.9594700227327061,0.9594700227327061,0.9594700227327061,NA,NA,0.9932791896169701,0.03574905309742161,1.0127037606673959,0.027469520160206304,1.0515011884493164,0.022887375289636473,NA,NA
7,1.0489519387538841,1.0489519387538841,1.0489519387538841,1.0489519387538841,NA,NA,1.0725673596336551,0.029798209087125153,1.0730573198405524,0.0280764499892713,1.1221019421014555,0.023182150904796025,NA,NA
8,1.1245345193660121,1.1245345193660121,1.1245345193660121,1.1245345193660121,NA,NA,1.144215921287198,0.02393366964421764,1.124302606490097,0.027490446568752665,1.1896700590007774,0.022989221096898223,NA,NA
9,1.2019799340587938,1.2019799340587938,1.2019799340587938,1.2019799340587938,NA,NA,1.2215450196509765,0.018956890398207818,1.1906437022392866,0.02509540933108887,1.2281144603877465,0.018329438181034108,NA,NA
10,1.2820221801033924,1.2820221801033924,1.2820221801033924,1.2820221801033924,1.282011061115441,0.01957836986589072,1.2916655558735084,1.6131465297382006e-16,1.282011061115441,0.01957836986589072,1.282011061115441,0.01957836986589072,1.282011061115441,0.01957836986589072
