Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.4760239699131125,0.4760239699131125,0.4760239699131125,0.4760239699131125,NA,NA,0.3756834617368479,0.24951615116651785,0.43254478505776667,0.09645571718695033,0.9548409372264931,0.04279996492714442,NA,NA
3,0.536659288804419,0.536659288804419,0.536659288804419,0.536659288804419,NA,NA,0.35608715439104416,0.1730897219620089,0.33736187079961294,0.07995051772585708,0.8782241295755093,0.04021861146302491,NA,NA
4,0.5613178401277611,0.5613178401277611,0.5613178401277611,0.5613178401277611,NA,NA,0.37071813395035275,0.18192007672947483,0.4717984750984902,0.08038691177637323,0.8988854254993135,0.04466977330975122,NA,NA
5,0.570479588502692,0.570479588502692,0.570479588502692,0.570479588502692,NA,NA,0.39931986540480285,0.14995106936643265,0.4739956397000418,0.07397115631136525,0.9344906903718724,0.05131256624450815,NA,NA
6,0.5124300966589032,0.5124300966589032,0.5124300966589032,0.5124300966589032,NA,NA,0.4352677218666232,0.16185852846331836,0.5229702800122776,0.08328967447090513,0.961308127029344,0.04443888848963507,NA,NA
7,0.471836522591639,0.471836522591639,0.471836522591639,0.471836522591639,NA,NA,0.46633244394411244,0.1577225751635392,0.5491584898195909,0.08792933889273022,0.9742652428561738,0.060962581284339866,NA,NA
8,0.6045982327366938,0.6045982327366938,0.6045982327366938,0.6045982327366938,NA,NA,0.500388641457567,0.14591598055218932,0.5691282618751033,0.0993861130449731,0.9950745281149125,0.06749673861616605,NA,NA
9,0.5773687825254221,0.5773687825254221,0.5773687825254221,0.5773687825254221,NA,NA,0.5298399005013825,0.14763356973171818,0.5606261220575195,0.10517180712467591,1.040729555024855,0.06442500883729316,NA,NA
10,0.5509498359089867,0.5509498359089867,0.5509498359089867,0.5509498359089867,NA,NA,0.5609650131307272,0.13501816542883885,0.5519892305923364,0.11317971094744679,1.0697486055462337,0.06485856552962493,NA,NA
11,0.57914370733939,0.57914370733939,0.57914370733939,0.57914370733939,NA,NA,0.6072205424335815,0.1349521539290879,0.5383871035454297,0.09879845826561591,1.0980250078048097,0.06796398480973637,NA,NA
12,0.6363845298596957,0.6363845298596957,0.6363845298596957,0.6363845298596957,NA,NA,0.625685524066816,0.12715517653527242,0.5630162031398419,0.08071529998782244,1.1275086242682706,0.06927690642190637,NA,NA
13,0.6608845560354892,0.6608845560354892,0.6608845560354892,0.6608845560354892,NA,NA,0.6457593738828206,0.1239904667128022,0.5753054489061433,0.0687391855501251,1.1563168533252024,0.0628973627577373,1.5119508637032681,0.09709271768435555
14,0.6459715220718965,0.6459715220718965,0.6459715220718965,0.6459715220718965,NA,NA,0.6869336789096121,0.12207601847973794,0.6037230237609487,0.06744535453818629,1.1949851454500968,0.06968235296482764,NA,NA
15,0.6356132772450671,0.6356132772450671,0.6356132772450671,0.6356132772450671,NA,NA,0.7179903861664563,0.12687093136135294,0.6108738610634026,0.06898886899043635,1.2096991957862808,0.06971211556038483,1.459401063807094,0.0970645207821425
16,0.6234104529897986,0.6234104529897986,0.6234104529897986,0.6234104529897986,NA,NA,0.7388240637201918,0.10592314706377773,0.6156769794702626,0.07537307545120984,1.2157398706605682,0.06532009798650637,NA,NA
17,0.6100708211444923,0.6100708211444923,0.6100708211444923,0.6100708211444923,NA,NA,0.7723718877340414,0.11279768361437974,0.6220621419256188,0.07881746283407813,1.2009759599889778,0.06963898162291182,1.0078922424126295,0.0634256839229445
18,0.6592172846430792,0.6592172846430792,0.6507660442416628,0.6507660442416628,1.2176875240110112,0.06884776073438234,0.8036096763633697,0.11142910770190682,0.6218939291418982,0.07060316271793539,1.214555526148711,0.06756140455168858,1.0699658356493045,0.0606288981103131
19,0.6501310666497059,0.6501310666497059,0.6388163614809907,0.6388163614809907,NA,NA,0.81882766557778075,0.10358262801945488,0.6411019517049784,0.06473452655795761,1.1931794123798665,0.06633330190066049,NA,NA
20,0.7002127113860083,0.7002127113860083,0.6278784696078445,0.6278784696078445,NA,NA,0.8536241082795463,0.1068790273020572,0.676717220381812,0.05928908169731165,1.1727496485466127,0.06519753499247402,NA,NA
21,0.7547016852147752,0.7547016852147752,0.6178163681659101,0.6178163681659101,NA,NA,0.890299448244279,0.10371215193408496,0.7083757655915174,0.06521972818116403,1.1563166870932315,0.06547032905826193,NA,NA
