Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,2.113340521138512,1.4591436852153612,2.113340521138512,1.4591436852153612,NA,NA,86.57256742238974,42.94389429494535,38.57423675222136,45.75043332471507,2.113340521138512,1.5380724929107663,NA,NA
2,2.0873954393170893,1.4722289543067433,1.826861439115565,1.5170646575174125,NA,NA,60.51589594536322,39.729117881394956,31.122472189240984,36.743440988014626,1.901299724887429,1.585623421105051,NA,NA
3,1.826861439115565,1.5170646575174125,1.7750899745958004,1.5254865499290802,NA,NA,49.07678268794324,36.27089738759674,23.320913530099006,26.73836337809564,1.8046736686070945,1.6029311816751155,2.0973125116202924,1.5453279080789883
4,1.826861439115565,1.5170646575174125,1.7750899745958004,1.5254865499290802,NA,NA,35.156558768527894,29.209137201416336,18.354344817104785,17.56771053840431,1.7922455749954698,1.6080110912165673,1.9571284392163273,1.5754960680592625
5,1.822370133647484,1.5173482874582769,1.7689949349373482,1.5284108569322463,NA,NA,30.755446554101606,23.37400304628877,14.182741484223321,11.901970260505529,1.788344478514565,1.6099910550218584,NA,NA
6,1.4534810695369067,0.6161635815210326,1.735703800213594,1.5375497100222748,NA,NA,28.029462044990115,22.808762647557327,11.270035269174485,6.336786270943482,1.6623568508632953,1.3381904966559321,NA,NA
7,1.2697652674701052,0.3104996417018053,1.3750640534431025,0.6237391963537307,NA,NA,21.517441742552247,16.195746858370452,10.269666847550702,5.299338131371308,1.4113542116724898,0.6403313436861878,1.774285197870593,1.617658385061443
8,1.3327677491599856,0.6218335318273153,1.332510769900565,0.624650140608846,NA,NA,17.633838875859375,13.34815506438709,10.142259925551189,5.20983961913052,1.3506357123458124,0.6494221943044831,NA,NA
9,1.3439885796583213,0.6168068429838117,1.3321655525265814,0.6248329627216836,NA,NA,17.30575447306981,11.769080167219265,10.099306458239047,5.156005258147304,1.3450528316947095,0.6500251448308678,NA,NA
10,1.332270409500134,0.622094883710722,1.3098323259664788,0.6234971335360235,NA,NA,17.463092176271008,13.693236382924068,10.098512776480908,5.156295131553851,1.3439061192117117,0.6501469215791618,1.3396327998421336,0.6536553784546
11,1.313937147100066,0.6216459242043127,1.3098323259664788,0.6234971335360235,NA,NA,14.594230572119656,9.893419362129956,9.995551125361471,5.0114798740705035,1.3408671080629615,0.6503597470787643,NA,NA
12,1.3252021999163293,0.6168571396427819,1.3098323259664788,0.6234971335360235,NA,NA,11.901926908882924,7.927431737883442,9.647700082297032,4.735089691544124,1.3251491424483017,0.6502538573679822,NA,NA
13,1.2880292400583795,0.6292422926973866,1.3098323259664788,0.6234971335360235,1.285165693646446,0.6644470093480918,12.553304554153776,9.428842873434865,9.629552121525471,4.735626189107104,1.3169630811422877,0.6530322652326499,1.285165693646446,0.6644470093480918
14,1.2889252974060497,0.6288377435827146,1.2236619342479498,0.6265884171340065,NA,NA,11.600748450650633,8.315375417065882,9.21091139495151,4.7997974473812315,1.2788582437774245,0.6592097922861213,NA,NA
15,1.2889252974060497,0.6288377435827146,1.2236619342479498,0.6265884171340065,NA,NA,10.75983149649113,7.897384477889858,8.935980616052147,4.9278516278399715,1.234926987064213,0.6571960896418603,NA,NA
16,1.2289252974060498,0.6249063477377438,1.2236619342479498,0.6265884171340065,NA,NA,9.895783010050058,8.039514614908734,8.150013961014608,4.8374900734615895,1.234926987064213,0.6571960896418603,1,0
17,1.2289252974060498,0.6249063477377438,1.2227658769002796,0.6269011407065553,NA,NA,10.23216609673919,7.918275766004233,8.001802578059545,4.927708561595186,1.2346709706791643,0.6572956165530325,NA,NA
18,1.2108960573476701,0.6297069812086501,1.2227658769002796,0.6269011407065553,NA,NA,8.469215915245023,7.5853848179943,7.681928537777397,4.913013707760777,1.2340309297165428,0.657544433830963,NA,NA
