Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,25438436890.921364,37404515494.54543,25438436890.921364,37404515494.54543,NA,NA,36243254145307827e8,17934115478472765e8,NA,NA,NA,NA,NA,NA
2,3443615048.970149,2220591162.5683675,21812129892.672157,39181527854.901794,NA,NA,135108061658089e10,20689678357850086e8,NA,NA,NA,NA,NA,NA
3,105653800.16371784,182160419.42983055,20927072421.407787,39536703115.17542,NA,NA,4932518751616964e8,13682912318950498e8,NA,NA,NA,NA,NA,NA
4,653935.0731645243,699430.594142621,1188521498.6463404,149875601.26547754,NA,NA,198266685412696830,419762015961097300,NA,NA,NA,NA,NA,NA
5,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,1,0
