Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,2925214.9626309937,5544023.628487877,200203965.73591876,399898091.05900556,NA,NA,579100529.1005291,458340528.20331585,NA,NA,NA,NA,NA,NA
2,122434.25128356258,198001.15670380063,97983.97861853804,202487.2923411555,NA,NA,329915787.36163676,444789252.201316,NA,NA,NA,NA,NA,NA
3,1.1905153428277786,0.4704360524516202,97983.97861853804,202487.2923411555,NA,NA,105144094.34877588,278535232.1680391,NA,NA,NA,NA,1.1905153428277786,0.4958831397351861
4,1.0550000000000002,0.165,97983.97861853804,202487.2923411555,NA,NA,303215.59888344695,265710.20038037386,NA,NA,NA,NA,1.157142857142857,0.49692934659788823
5,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,1.0764293055351637,0.2413303063485838
