Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,29115036514.484467,17180235718.80818,29115036514.484467,17180235718.80818,NA,NA,23161369801010103e8,22598673596426945e8,NA,NA,NA,NA,NA,NA
2,2581022669.5601854,5772982633.330674,2581022669.5601854,5772982633.330674,NA,NA,7934913990200326e8,1730028832867529e9,NA,NA,NA,NA,NA,NA
3,10198908.557658799,27692992.539044365,10198908.557658799,27692992.539044365,NA,NA,27334650111850412,44436658892611696,NA,NA,NA,NA,NA,NA
4,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,1,0
