Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,10000000000000,0,1035508403361.3445,2988445537738.325,NA,NA,4503599627370496e9,0,40532398883870734e8,14241625416265396e8,34742058925716407e8,17675981251417286e8,NA,NA
2,4099559212.7171082,3047284009.9481564,13418087383.38554,28978688981.8803,NA,NA,3881674155475393e9,141005517210002e10,39889028174363564e8,149197972560326e10,28951718066288856e8,21822575869899652e8,NA,NA
3,12164903316.219105,29400725330.894875,12820398307.75529,29162516269.663662,NA,NA,3152519880890201e9,20795117731941202e8,3731554466583896e9,16885805659892573e8,13510805909753584e8,1817364721211548e9,NA,NA
4,159570462.29896083,395306703.15586805,12740197806.502155,29193924774.438053,NA,NA,2938062865194632e9,21033733453829287e8,3667217308890633e9,17563979685797663e8,224095271668787140,596720461964299500,NA,NA
5,56677342.41481445,93217630.302708745,12740197806.502155,29193924774.438053,NA,NA,21445714128670096e8,2273464441929784e9,33455317918877934e8,20388670456619853e8,212172953999859740,584594919240278800,NA,NA
6,21899073.75415729,58203334.89029174,12740197806.502155,29193924774.438053,NA,NA,18014399580695323e8,22149833794718502e8,17371034754304725e8,2046623103722083e9,25778604416539900,52982649689094610,NA,NA
7,22153751.36673499,58136292.28095532,2670741787.26381,2706079226.733407,NA,NA,15226456814483325e8,2119009399686226e9,1415417903150451e9,19315414233413658e8,9844868836279470,24976263119018744,NA,NA
8,21784407.53806243,58242864.94722046,2268535370.2795563,2757559870.751242,NA,NA,1243851394427677e9,20190606395685836e8,14154177727384285e8,193154152571151e10,2434517289980005.5,6138038394237346,NA,NA
9,21642736.9274986,58293758.38463911,1248703850.4480364,951965128.9230788,NA,NA,9436113930005766e8,1854142770788036e9,1029394852254513e9,13143355665072003e8,39889029330964.94,85951914710746.625,NA,NA
10,21839793.308789376,58231443.44935525,1248703850.4480364,951965128.9230788,NA,NA,9436113938970073e8,18443471118871263e8,9007202823251795e8,12070091772473699e8,35385431202034.805,79322210701310.02,NA,NA
11,21560520.502608016,58322253.7123441,1248703850.4480364,951965128.9230788,NA,NA,7720456804250069e8,1685145493010598e9,25734855712118337e7,51422979156011576e7,28951717176993.543,61003540056624.875,NA,NA
12,21012278.418553285,58499416.69831497,1248703850.4480364,951965128.9230788,NA,NA,42891426378095306e7,13028543917043343e8,257348555112578e9,5142297929460693e8,20587891485298.66,45094655863053.38,NA,NA
13,20702176.84435726,58603213.88700562,1248703850.4480364,951965128.9230788,NA,NA,34313142044723645e7,1196081624160363e9,25734855511193462e7,5142297929462986e8,9007211808983.203,18422686711129.617,NA,NA
14,20681958.713987865,58610001.60404385,1248703850.4480364,951965128.9230788,NA,NA,4932514003549073e8,1407834404490868e9,25734855335038374e7,514229794161884e9,6433723512084.598,11357872253357.686,NA,NA
15,1468022.59659642,1485240.338721127,1248703850.4480364,951965128.9230788,NA,NA,3002399872613499e8,10201699772847304e8,2320640674438636.5,4688187326337593,3860237657084.512,9494438280508.893,NA,NA
16,20674703.490848016,58612453.35069517,1248703850.4480364,951965128.9230788,NA,NA,15011999937780425e7,6661630162745158e8,2060075267426486.5,4049542307512937,1930120645821.2114,6103574674367.326,NA,NA
17,1403454.942126349,1536679.3161622258,1212652010.8658822,990016215.2006373,NA,NA,2144571340338683e8,875157110105782e9,2058145194116797.2,4050139085018717,643383296077.9352,2034554646367.1523,NA,NA
18,873766.1661867155,1200363.1583128,1212652010.8658822,990016215.2006373,NA,NA,21445722048625455e6,1174630142121263e8,2055571790248095.7,4051250439833292,11794231.90243388,35972256.971251234,NA,NA
19,873766.1661867155,1200363.1583128,1212652010.8658822,990016215.2006373,NA,NA,10722857088681307e7,51561756881597285e7,2041417666063620,4031403435770414.5,3415468.501796066,9983537.301413946,NA,NA
20,873751.1224383984,1200374.108232479,1212652010.8658822,990016215.2006373,NA,NA,4289143234800282e7,23492601668202238e7,2007318983170672,3939347465905894,592325.5247753327,1315810.0571316006,NA,NA
21,873755.9814121152,1200370.5715119634,1212652010.8658822,990016215.2006373,NA,NA,6852334151791978,9591284636653446,2002172041745030.7,3937338898025506,592324.2833585927,1315810.6471461856,NA,NA
22,846333.5779028718,1197625.483053989,1212652010.8658822,990016215.2006373,NA,NA,6904232913274752,9413326207483954,1809160653737891.2,3469328197373994,577454.1337472766,1317012.778262001,NA,NA
23,752441.8555740308,1223217.4485187954,1212652010.8658822,990016215.2006373,NA,NA,5500825450018133,9009187921301992,1807230600925561.7,3470470177336631,564040.2345445494,1318619.5393998274,NA,NA
24,564039.9333388864,1250952.4693209222,1212652010.8658822,990016215.2006373,NA,NA,21445715863896544e6,11746301132082573e7,1794363331486413.7,3469818169153637,564039.8546250272,1318619.719966371,NA,NA
25,564039.9333388864,1250952.4693209222,1212652010.8658822,990016215.2006373,NA,NA,3312505041165159.5,7410177160325023,1794363331486413.7,3469818169153637,564039.8087948797,1318619.741748372,NA,NA
26,564039.6333108473,1250952.604599679,1212652010.8658822,990016215.2006373,NA,NA,3731339793169767,7587216908136529,1741606913572590.7,3319305492671699.5,541022.3904112793,1312264.8637686868,564039.8516282322,1318619.7213906343
27,564039.6283958671,1250952.6068157807,1212652010.8658822,990016215.2006373,NA,NA,2221990543814411.7,6003545327952009,1740320248041990.7,3318232231074913.5,471970.37325257785,1293200.1238597867,564039.63331084745,1318619.8251516707
28,402918.320681969,1208750.959600908,1212652010.8658822,990016215.2006373,NA,NA,2055571770278168,5356503305484494,1739033541005599,3318233473397997,402918.3243905027,1274135.3841146338,564039.6305756007,1318619.8264516706
29,402918.31472652766,1208750.961586054,1212652010.8658822,990016215.2006373,NA,NA,1345504178283743.2,4341486705472202,1692067430605878.2,3170604208083501.5,402918.31684910494,1274135.3867644107,402918.31819933915,1274135.3862899875
30,1.2413111199040294,0.5949277922621474,1212652010.8658822,990016215.2006373,NA,NA,258635392402437.53,1120719823313542.9,1212652010.8658822,1043568720.1778086,1.2074528728376948,0.6300952187592672,201459.69214381868,637067.7801771445
31,1,0,1,0,1.00125,0.003952847075210461,1,0,1,0,1,0,1.029558625336927,0.09003956291677713
