Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,7626404049.677707,6235749900.712525,23690476190.476192,7481079687.316656,NA,NA,15440913032626999e8,2160299601034428e9,1351079890458445e9,21754452955900255e8,292735007492637.2,497551410481488.3,NA,NA
2,1713905203.4667997,1439186280.0390654,8002494413.310351,9535103148.653824,NA,NA,10722856841948371e7,51561757442211964e7,477381560501272.6,236008984984461.4,67555009306340.05,110824065355929.27,NA,NA
3,2993886188.7574606,4783668807.753401,1966126517.5963683,2835769973.7205625,NA,NA,2144571338605869e7,11746300594113327e7,271502720392907.06,150465192140020.34,27021923845201.363,43508680931447.38,NA,NA
4,86183773.23326485,44692770.29363303,446252842.1459182,692779147.5308864,NA,NA,496682701761431.8,512705209495141.94,95862334925457.7,59022673439074.305,23161490535185.582,33511402425262.664,NA,NA
5,208227238.40633792,421974040.3901841,187895724.66925037,218344445.13334554,NA,NA,297666489656678.5,358367707110959.9,84925021544700.78,48709646701623.42,19944582870605.11,31641882254355.64,NA,NA
6,175214803.30601183,432723158.60180527,174333155.16806355,225462452.97399682,NA,NA,223893238617847.56,256789993920281.94,82994907418684.86,44215792888576.69,14797591553999.428,26182840031964.11,NA,NA
7,6324466.245419219,10004524.331806537,168302399.11828086,229114926.06861567,NA,NA,169206671714062.97,181143838406477.66,79134679166653,38864892481626.305,10293992369281.723,20774614789745.145,NA,NA
8,7397370.002801661,18249192.954862315,127067451.15757954,233100817.98060083,NA,NA,141970620432230.72,142653124400218.3,79134679166653,38864892481626.305,9007231122628.99,18988826526961.926,NA,NA
9,7397368.445023526,18249193.586311854,127067451.11174619,233100818.00558537,NA,NA,111732162183810.92,89019078826124.23,75274450914621.16,35480482537441.86,9007199910630.744,18988842976950.984,NA,NA
10,6725103.292227684,18384984.56160254,14622352.576021954,26927957.36282632,NA,NA,101867134428618.39,67691252470956.266,75274450914621.16,35480482537441.86,7720457159953.526,17632497053435.848,NA,NA
11,559885.1787874867,1679530.6789504446,1232130.0007998005,2477015.384431077,NA,NA,81493708790560,42384113910104.016,74631079539282.52,34682272880356.117,7720457063915.127,17632497104052.51,NA,NA
12,1232148.9336633107,2477005.967058075,559861.4080433229,1679538.602296493,NA,NA,81922640428107.53,57217702800189.8,72057594037927.94,31489434252013.156,7077085688576.369,16954324142295.02,NA,NA
13,559873.6528414716,1679534.520857314,559861.4059969381,1679538.6029786384,NA,NA,75917823161890.19,41488456903379.1,59834053729635.6,32104617551344.246,5790342937899.083,15597978218779.898,NA,NA
14,559861.434877695,1679538.5933514868,559861.1944922773,1679538.6734818285,NA,NA,66267263959328.87,31333507163127.383,56617221873633.88,33746916530859.594,5146971562560.461,14919805257022.33,NA,NA
15,6165241.071761302,18495680.020902805,559861.1112505245,1679538.701229748,NA,NA,61549208194570.71,28951537254433.37,55330480327895.97,34097352286462.39,4503600187221.657,14241632295264.82,NA,NA
16,13.567984836302998,29.090629676611968,559861.0922873594,1679538.7075509587,NA,NA,60262469370859.5,33146162170038.17,54687108535583.09,34148184631925.453,4503599947286.932,14241632379569.242,4503600187221.811,14241632295264.766
17,3.380024769033033,4.236829797133857,559861.0922873594,1679538.7075509587,NA,NA,52970928000493.125,29787493556266.414,31525824398307.18,36797268175937.914,1930114365954.1094,6103556697973.168,NA,NA
18,1.1315313661054145,0.2797936183536176,559861.0922873594,1679538.7075509587,NA,NA,49110690260251.17,31359823410565.87,27022263006190.23,37977160783683.46,643371455319.3422,2034518899326.3618,4503599627374,14241632491975.127
19,1.1009432234432235,0.2860104247717741,559860.1262420376,1679539.0295709413,NA,NA,39245670497736.83,28982610181692.523,27022187683372.926,37977220326047.43,1.1859948026432963,0.523197963700907,2.78129899719188,3.7314920282990527
20,1.00510989010989,0.011185199261804148,1.100482456140351,0.28613279769415095,NA,NA,35385447361679.39,32466578624428.184,27021799730470.695,37977526977548.51,1.0305554876606378,0.0909564960309315,1.1057051282051282,0.301863458680963
21,1,0,1.100482456140351,0.28613279769415095,1,0,27879438461295.973,31037989122471.227,27021799730470.695,37977526977548.51,1.0015384615384615,0.004865042554105182,1.0015384615384615,0.004865042554105182
22,1,0,1.100482456140351,0.28613279769415095,NA,NA,24662572075862.906,29916037932206.32,27021799334089.84,37977527290918.61,1.0015384615384615,0.004865042554105182,NA,NA
23,1,0,1.100482456140351,0.28613279769415095,NA,NA,14154172487160.516,26382340343173.926,13510903788850.166,21754380579905.254,1,0,559849.9060064101,1770393.1749602973
24,1,0,1,0,NA,NA,1,0,1,0,1,0,1.2243958352739053,0.6632367158095547
