,CV
0,8
1,9
2,2
3,4
4,7
5,7
6,3
7,4
8,8
9,1
10,9
11,2
12,9
13,3
14,8
15,5
16,9
17,1
18,10
19,9
20,10
21,2
22,3
23,10
24,7
25,9
26,10
27,10
28,6
29,6
30,5
31,2
32,10
33,6
34,1
35,7
36,1
37,6
38,1
39,3
40,6
41,10
42,10
43,8
44,2
45,5
46,4
47,9
48,10
49,3
50,4
51,5
52,6
53,5
54,5
55,2
56,4
57,7
58,1
59,2
60,8
61,8
62,5
63,6
64,10
65,4
66,3
67,8
68,7
69,3
70,4
71,8
72,5
73,2
74,1
75,4
76,6
77,9
78,1
79,7
80,7
81,10
82,3
